0	0	1.4	0	0
0.1	0.05	0.8	0	0
0.25	0.1	0.65	0.15	90
0.4	0.15	0.8	0.15	90
0.25	0.2	0.95	0.15	90
0.1	0.25	0.8	0.15	90
0.3	0.25	0.4	0	0
0.4	0.15	0.375	0.1	-90
0.3	0.05	0.35	0.1	-90
0.2	0.15	0.325	0.1	-90
0.3	0.25	0.3	0.1	-90
0.7	0	0.3	0	0
0.8	0.1	0.275	0.1	90
0.7	0.2	0.25	0.1	90
0.6	0.1	0.225	0.1	90
0.5	0	0.2	0.1	-90
0.4	0.1	0.2	0.1	-90
0.5	0.2	0.195	0.1	-90
0.6	0.1	0.195	0.1	-90
0.7	0	0.2	0.1	90
0.9	0	0.2	0	0
1.2	0	0.2	0	0
1.35	0	0	0	0
1.5	0	0	0	0
1.6	0	0.07	0	90
1.65	0	0.07	0	0
1.72	0	0	0	90
1.77	0	0	0	0
1.97	0.2	0	0.2	90
1.77	0.4	0	0.2	90
0.8	0.4	0	0	0
