0	0	1.23	0	0
0	0	0.608	0	0
0.152	0.0285	0.456	0.152	90
0.304	0.057	0.608	0.152	90
0.152	0.0855	0.76	0.152	90
0	0.114	0.608	0.152	90
0	0.114	0.456	0	0
0.152	0.1425	0.304	0.152	90
0.304	0.171	0.456	0.152	90
0.152	0.1995	0.608	0.152	90
0	0.228	0.456	0.152	90
0.106	0.228	0.35	0	0
0.309	0.431	0.263	0.203	90
0.106	0.634	0.175	0.203	90
-0.097	0.431	0.0875	0.203	90
0.106	0.228	0	0.203	90
0.714	0.228	0	0	0
0.917	0.431	0.038	0.203	90
0.714	0.634	0.076	0.203	90
0.511	0.431	0.114	0.203	90
0.714	0.228	0.152	0.203	90
1	0.177	0.24	0	0
1.715	0.177	0.24	0	0
